airport,month,day,wind_spd
LGA,7,5,4.5
JFK,5,15,5.3
EWR,5,31,3.9
JFK,6,3,3.4
LGA,7,28,3.7
LGA,8,28,2.3
LGA,9,27,3.6
LGA,9,8,4.9
LGA,9,17,4.3
EWR,8,26,5.5
JFK,4,24,6.2
EWR,5,26,7.6
JFK,8,20,3.7
JFK,7,2,5.6
LGA,5,21,3.9
EWR,9,14,4.8
EWR,6,24,4.4
EWR,9,20,2.8
EWR,7,22,2.5
EWR,7,13,2.4
LGA,9,10,4.2
JFK,6,2,5.9
JFK,6,9,3.4
LGA,8,29,4.0
JFK,9,12,4.5
JFK,4,27,4.0
LGA,5,9,3.1
JFK,6,10,4.3
JFK,9,24,3.9
LGA,6,22,4.5
LGA,7,26,4.1
LGA,8,23,4.8
LGA,9,24,4.0
EWR,6,2,6.1
JFK,6,19,4.7
LGA,8,7,5.1
JFK,8,15,4.5
JFK,5,23,7.9
EWR,8,21,2.4
JFK,9,1,3.9
JFK,9,10,5.7
LGA,9,22,6.4
EWR,5,13,5.6
JFK,7,23,4.7
JFK,5,9,3.4
LGA,6,9,2.5
LGA,6,28,4.9
JFK,9,20,3.7
EWR,6,7,4.9
JFK,8,2,4.4
LGA,8,16,2.5
LGA,6,17,3.8
JFK,6,27,3.9
EWR,7,10,4.4
JFK,7,28,3.6
JFK,7,31,3.6
LGA,9,16,4.2
JFK,9,26,3.2
EWR,5,7,2.6
EWR,7,25,6.3
JFK,8,30,4.8
LGA,5,18,3.1
EWR,6,30,2.7
JFK,8,8,5.9
EWR,5,5,3.4
LGA,5,7,3.7
JFK,8,5,4.9
LGA,5,2,2.7
EWR,7,7,5.1
EWR,7,11,4.3
LGA,7,19,5.1
JFK,8,19,4.9
LGA,5,23,4.6
EWR,9,19,2.5
LGA,5,16,3.4
JFK,6,8,5.3
JFK,6,13,5.7
EWR,7,16,4.5
LGA,9,29,2.6
EWR,4,25,5.1
EWR,5,9,2.5
LGA,7,25,6.0
LGA,8,19,3.1
EWR,8,6,3.0
JFK,9,28,3.0
EWR,9,30,2.2
LGA,6,1,4.9
JFK,8,18,1.9
EWR,7,4,5.3
JFK,7,16,4.7
JFK,5,16,3.7
JFK,6,20,5.0
EWR,7,26,4.4
LGA,9,13,5.3
JFK,9,29,2.8
LGA,5,6,3.3
LGA,7,23,3.8
JFK,7,1,5.2
JFK,8,17,2.7
JFK,9,15,4.1
EWR,9,4,4.3
LGA,9,15,3.1
EWR,4,24,4.0
LGA,5,11,4.0
EWR,6,11,6.2
JFK,5,29,2.1
EWR,8,22,3.1
LGA,9,12,4.3
JFK,9,13,5.4
EWR,5,3,4.0
JFK,5,22,3.5
EWR,5,28,2.0
EWR,7,27,3.5
LGA,6,12,6.3
LGA,8,4,5.3
JFK,5,18,2.4
EWR,8,8,3.0
JFK,6,6,4.4
JFK,6,16,4.7
EWR,8,9,4.8
JFK,9,27,3.2
LGA,8,12,2.5
LGA,9,28,3.4
EWR,7,15,4.2
LGA,7,27,4.4
JFK,9,14,5.7
LGA,5,5,4.8
JFK,6,7,6.0
EWR,6,29,3.8
JFK,9,11,4.7
JFK,7,9,4.5
JFK,6,4,6.0
JFK,6,14,6.2
JFK,7,24,5.0
LGA,4,29,4.1
LGA,5,30,3.7
JFK,7,8,5.9
EWR,7,28,2.7
JFK,8,23,5.3
LGA,9,11,4.1
EWR,9,25,1.8
EWR,7,24,4.6
LGA,9,6,3.5
LGA,6,14,5.3
LGA,6,26,3.8
EWR,7,18,3.4
LGA,8,11,3.1
LGA,8,22,3.2
EWR,6,26,3.6
LGA,6,29,4.7
JFK,5,5,4.5
LGA,5,8,4.4
EWR,7,3,3.5
EWR,7,30,3.7
JFK,7,21,3.8
EWR,8,1,2.5
EWR,8,4,4.5
LGA,5,15,4.5
EWR,5,14,4.4
LGA,6,10,4.5
JFK,9,8,5.8
LGA,6,13,6.0
EWR,5,19,3.2
LGA,5,19,4.1
EWR,8,13,2.1
LGA,7,22,4.4
LGA,9,21,5.4
EWR,6,21,3.9
JFK,7,7,4.7
EWR,6,22,3.5
LGA,6,6,4.2
LGA,4,26,3.3
LGA,8,10,4.6
LGA,9,3,3.9
LGA,5,27,3.7
EWR,6,6,3.3
LGA,7,29,3.3
LGA,8,26,4.4
EWR,9,9,3.7
JFK,5,24,6.1
LGA,7,13,4.7
EWR,9,6,3.2
EWR,6,9,2.6
EWR,5,24,5.3
JFK,7,10,4.0
JFK,7,22,3.2
JFK,5,6,2.6
LGA,7,2,4.3
LGA,5,1,3.5
EWR,7,23,4.3
JFK,8,7,4.8
